title,genre,runtime,votes,rating,revenue,director,actor,description
Predators,Action,107,179450,6.4,52.00,Nimród Antal,Adrien Brody,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.
Maleficent,Action,97,268877,7.0,241.41,Robert Stromberg,Angelina Jolie,A vengeful fairy is driven to curse an infant princess only to discover that the child may be the one person who can restore peace to their troubled land.
Rupture,Horror,102,2382,4.8,0.50,Steven Shainberg,Noomi Rapace,A single mom tries to break free from a mysterious organization that has abducted her.
Pan's Labyrinth,Drama,118,498879,8.2,37.62,Guillermo del Toro,Ivana Baquero,In the falangist Spain of 1944 the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.
A Kind of Murder,Crime,95,3305,5.2,0.50,Andy Goddard,Patrick Wilson,In 1960s New York Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective while at the same time lusting after another woman.
Apocalypto,Action,139,247926,7.8,50.86,Mel Gibson,Gerardo Taracena,As the Mayan kingdom faces its decline the rulers insist the key to prosperity is to build more temples and offer human sacrifices. Jaguar Paw a young man captured for sacrifice flees to avoid his fate.
Mission: Impossible - Rogue Nation,Action,131,257472,7.4,195.00,Christopher McQuarrie,Tom Cruise,Ethan and team take on their most impossible mission yet eradicating the Syndicate - an International rogue organization as highly skilled as they are committed to destroying the IMF.
The Huntsman: Winter's War,Action,114,66766,6.1,47.95,Cedric Nicolas-Troyan,Chris Hemsworth,Eric and fellow warrior Sara raised as members of ice Queen Freya's army try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.
The Perks of Being a Wallflower,Drama,102,377336,8.0,17.74,Stephen Chbosky,Logan Lerman,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
Jackie,Biography,100,41446,6.8,13.96,Pablo Larraín,Natalie Portman,Following the assassination of President John F. Kennedy First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith console her children and define her husband's historic legacy.
The Disappointments Room,Drama,85,4895,3.9,2.41,D.J. Caruso,Kate Beckinsale,A mother and her young son release unimaginable horrors from the attic of their rural dream home.
The Grand Budapest Hotel,Adventure,99,530881,8.1,59.07,Wes Anderson,Ralph Fiennes,The adventures of Gustave H a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars and Zero Moustafa the lobby boy who becomes his most trusted friend.
The Host,Action,125,96852,5.9,26.62,Andrew Niccol,Saoirse Ronan,When an unseen enemy threatens mankind by taking over their bodies and erasing their memories Melanie will risk everything to protect the people she cares most about proving that love can conquer all in a dangerous new world.
Fury,Action,134,332234,7.6,85.71,David Ayer,Brad Pitt,A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April 1945.
Inside Out,Animation,95,416689,8.2,356.45,Pete Docter,Amy Poehler,After young Riley is uprooted from her Midwest life and moved to San Francisco her emotions - Joy Fear Anger Disgust and Sadness - conflict on how best to navigate a new city house and school.
Rock Dog,Animation,90,1109,5.8,9.40,Ash Brannon,Luke Wilson,When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff he leaves home to fulfill his dream of becoming a musician setting into motion a series of completely unexpected events.
Terminator Genisys,Action,126,205365,6.5,89.73,Alan Taylor,Arnold Schwarzenegger,When John Connor leader of the human resistance sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future an unexpected turn of events creates a fractured timeline.
Percy Jackson & the Olympians: The Lightning Thief,Adventure,118,148949,5.9,88.76,Chris Columbus,Logan Lerman,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.
Les Misérables,Drama,158,257426,7.6,148.78,Tom Hooper,Hugh Jackman,In 19th-century France Jean Valjean who for decades has been hunted by the ruthless policeman Javert after breaking parole agrees to care for a factory worker's daughter. The decision changes their lives forever.
Children of Men,Drama,109,382910,7.9,35.29,Alfonso Cuarón,Julianne Moore,In 2027 in a chaotic world in which women have become somehow infertile a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.
20th Century Women,Comedy,119,14708,7.4,5.66,Mike Mills,Annette Bening,The story of a teenage boy his mother and two other women who help raise him among the love and freedom of Southern California of 1979.
Spy,Action,119,188017,7.1,110.82,Paul Feig,Melissa McCarthy,A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer and prevent diabolical global disaster.
The Intouchables,Biography,112,557965,8.6,13.18,Olivier Nakache,François Cluzet,After he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver.
Bonjour Anne,Comedy,92,178,4.9,0.32,Eleanor Coppola,Diane Lane,Anne is at a crossroads in her life. Long married to a successful driven but inattentive movie producer she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary »
Kynodontas,Drama,94,50946,7.3,0.11,Yorgos Lanthimos,Christos Stergioglou,Three teenagers live isolated without leaving their house because their over-protective parents say they can only leave when their dogtooth falls out.
Straight Outta Compton,Biography,147,139831,7.9,161.03,F. Gary Gray,O'Shea Jackson Jr.,The group NWA emerges from the mean streets of Compton in Los Angeles California in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.
The Amazing Spider-Man 2,Action,142,342183,6.7,202.85,Marc Webb,Andrew Garfield,When New York is put under siege by Oscorp it is up to Spider-Man to save the city he swore to protect as well as his loved ones.
The Conjuring,Horror,112,330305,7.5,137.39,James Wan,Patrick Wilson,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
The Hangover,Comedy,100,611563,7.8,277.31,Todd Phillips,Zach Galifianakis,Three buddies wake up from a bachelor party in Las Vegas
Battleship,Action,131,210349,5.8,65.17,Peter Berg,Alexander Skarsgård,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.
Rise of the Planet of the Apes,Action,105,422290,7.6,176.74,Rupert Wyatt,James Franco,A substance designed to help the brain repair itself gives rise to a super-intelligent chimp who leads an ape uprising.
Lights Out,Horror,81,69823,6.4,67.24,David F. Sandberg,Teresa Palmer,Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Drama,118,664,7.1,2.27,Joseph Cedar,Richard Gere,Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later when the politician becomes an influential world leader Norman's life dramatically changes for better and worse.
Birdman or (The Unexpected Virtue of Ignorance),Comedy,119,440299,7.8,42.34,Alejandro González Iñárritu,Michael Keaton,Illustrated upon the progress of his latest Broadway play a former popular actor's struggle to cope with his current life as a wasted actor is shown.
Black Swan,Drama,108,581518,8.0,106.95,Darren Aronofsky,Natalie Portman,"A committed dancer wins the lead role in a production of Tchaikovsky's Swan Lake only to find herself struggling to maintain her sanity."
Dear White People,Comedy,108,21715,6.2,4.40,Justin Simien,Tyler James Williams,The lives of four black students at an Ivy League college.
Nymphomaniac: Vol. I,Drama,117,90556,7.0,0.79,Lars von Trier,Charlotte Gainsbourg,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,112,59312,6.0,0.54,Dave Green,Megan Fox,After facing Shredder who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world the Turtles must confront an even greater nemesis: the notorious Krang.
Knock Knock,Drama,99,53441,4.9,0.03,Eli Roth,Keanu Reeves,A devoted father helps two stranded young women who knock on his door but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.
Dirty Grandpa,Comedy,102,75137,6.0,35.54,Dan Mazer,Robert De Niro,Right before his wedding
Cloud Atlas,Drama,172,298651,7.5,27.10,Tom Tykwer,Tom Hanks,An exploration of how the actions of individual lives impact one another in the past present and future as one soul is shaped from a killer into a hero and an act of kindness ripples across centuries to inspire a revolution.
X-Men Origins: Wolverine,Action,107,388447,6.7,179.88,Gavin Hood,Hugh Jackman,A look at Wolverine's early life in particular his time with the government squad Team X and the impact it will have on his later years.
Satanic,Horror,85,2384,3.7,0.50,Jeffrey G. Hunt,Sarah Hyland,Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites
Skyfall,Action,143,547386,7.8,304.36,Sam Mendes,Daniel Craig,Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack 007 must track down and destroy the threat no matter how personal the cost.
The Hobbit: An Unexpected Journey,Adventure,169,668651,7.9,303.00,Peter Jackson,Martin Freeman,A reluctant hobbit Bilbo Baggins sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.
21 Jump Street,Action,110,432046,7.2,138.45,Phil Lord,Jonah Hill,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
Sing Street,Comedy,106,52144,8.0,3.23,John Carney,Ferdia Walsh-Peelo,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
Ballerina,Animation,89,4729,6.8,0.50,Eric Summer,Elle Fanning,An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris where she passes for someone else and accedes to the position of pupil at the Grand Opera house.
Oblivion,Action,124,410125,7.0,89.02,Joseph Kosinski,Tom Cruise,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.
22 Jump Street,Action,112,280110,7.1,191.62,Phil Lord,Channing Tatum,After making their way through high school (twice) big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.
Zodiac,Crime,157,329683,7.7,33.05,David Fincher,Jake Gyllenhaal,In the late 1960s/early 1970s a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer an unidentified individual who terrorizes Northern California with a killing spree.
Everybody Wants Some!!,Comedy,117,36312,7.0,3.37,Richard Linklater,Blake Jenner,In 1980
Iron Man Three,Action,130,591023,7.2,408.99,Shane Black,Robert Downey Jr.,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin he starts an odyssey of rebuilding and retribution.
Now You See Me,Crime,115,492324,7.3,117.70,Louis Leterrier,Jesse Eisenberg,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.
Sherlock Holmes,Action,128,501769,7.6,209.02,Guy Ritchie,Robert Downey Jr.,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
Death Proof,Thriller,113,220236,7.1,0.50,dir, actor,Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his death proof cars to execute his murderous plans.
The Danish Girl,Biography,119,110773,7.0,12.71,Tom Hooper,Eddie Redmayne,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.
Hercules,Action,98,122838,6.0,72.66,Brett Ratner,Dwayne Johnson,Having endured his legendary twelve labors Hercules the Greek demigod has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.
Sucker Punch,Action,110,204874,6.1,36.38,Zack Snyder,Emily Browning,A young girl is institutionalized by her abusive stepfather retreating to an alternative reality as a coping strategy envisioning a plan to help her escape.
Keeping Up with the Joneses,Action,105,30405,5.8,14.90,Greg Mottola,Zach Galifianakis,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.
Jupiter Ascending,Action,127,150121,5.3,47.38,Lana Wachowski,Channing Tatum,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.
Masterminds,Action,95,26508,5.8,17.36,Jared Hess,Zach Galifianakis,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.
Iris,Thriller,99,726,6.1,0.50,Jalil Lespert,Romain Duris,Iris
Busanhaeng,Action,118,58782,7.5,2.13,Sang-ho Yeon,Yoo Gong,While a zombie virus breaks out in South Korea passengers struggle to survive on the train from Seoul to Busan.
Pitch Perfect,Comedy,112,226631,7.2,65.00,Jason Moore,Anna Kendrick,Beca a freshman at Barden University is cajoled into joining The Bellas her school's all-girls singing group. Injecting some much needed energy into their repertoire The Bellas take on their male rivals in a campus competition.
Neighbors 2: Sorority Rising,Comedy,92,76327,5.7,55.29,Nicholas Stoller,Seth Rogen,When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there
The Exception,Drama,107,96,7.7,0.50,David Leveaux,Lily James,A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II
Man of Steel,Action,143,577010,7.1,291.02,Zack Snyder,Henry Cavill,Clark Kent one of the last of an extinguished race disguised as an unremarkable human is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.
The Choice,Drama,111,20514,6.6,18.71,Ross Katz,Benjamin Walker,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.
Ice Age: Collision Course,Animation,94,34523,5.7,64.06,Mike Thurmeier,Ray Romano,Manny Diego and Sid join up with Buck to fend off a meteor strike that would destroy the world.
The Devil Wears Prada,Comedy,109,302268,6.8,124.73,David Frankel,Anne Hathaway,A smart but sensible new graduate lands a job as an assistant to Miranda Priestly the demanding editor-in-chief of a high fashion magazine.
The Infiltrator,Biography,127,43929,7.1,15.43,Brad Furman,Bryan Cranston,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.
There Will Be Blood,Drama,158,400682,8.1,40.22,Paul Thomas Anderson,Daniel Day-Lewis,A story of family religion hatred oil and madness focusing on a turn-of-the-century prospector in the early days of the business.
The Equalizer,Action,132,249425,7.2,101.53,Antoine Fuqua,Denzel Washington,A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters he can't stand idly by - he has to help her.
Lone Survivor,Action,121,218996,7.5,125.07,Peter Berg,Mark Wahlberg,Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.
The Cabin in the Woods,Horror,95,295554,7.0,42.04,Drew Goddard,Kristen Connolly,Five friends go for a break at a remote cabin
The House Bunny,Comedy,97,67033,5.5,48.24,Fred Wolf,Anna Faris,After Playboy bunny Shelley is kicked out of the playboy mansion she finds a job as the house mother for a sorority full of socially awkward girls.
She's Out of My League,Comedy,104,105619,6.4,31.58,Jim Field Smith,Jay Baruchel,An average Joe meets the perfect woman but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.
Inherent Vice,Comedy,148,69509,6.7,8.09,Paul Thomas Anderson,Joaquin Phoenix,In 1970 drug-fueled Los Angeles private investigator Larry Doc Sportello investigates the disappearance of a former girlfriend.
Alice Through the Looking Glass,Adventure,113,57207,6.2,77.04,James Bobin,Mia Wasikowska,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.
Vincent N Roxxy,Crime,110,403,5.5,0.50,Gary Michael Schultz,Emile Hirsch,A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.
The Fast and the Furious: Tokyo Drift,Action,104,193479,6.0,62.49,Justin Lin,Lucas Black,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.
How to Be Single,Comedy,110,59886,6.1,46.81,Christian Ditter,Dakota Johnson,A group of young adults navigate love and relationships in New York City.
The Blind Side,Biography,129,237221,7.7,255.95,John Lee Hancock,Quinton Aaron,The story of Michael Oher a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.
La vie d'Adèle,Drama,180,103150,7.8,2.20,Abdellatif Kechiche,Léa Seydoux,Adèle's life is changed when she meets Emma a young woman with blue hair who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others Adèle grows seeks herself loses herself and ultimately finds herself through love and loss.
The Babadook,Drama,93,132580,6.8,0.92,Jennifer Kent,Essie Davis,A single mother plagued by the violent death of her husband battles with her son's fear of a monster lurking in the house but soon discovers a sinister presence all around her.
The Hobbit: The Battle of the Five Armies,Adventure,144,385598,7.4,255.11,Peter Jackson,Ian McKellen,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.
Harry Potter and the Order of the Phoenix,Adventure,138,385325,7.5,292.00,David Yates,Daniel Radcliffe,With their warning about Lord Voldemort's return scoffed at Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.
Snowpiercer,Action,126,199048,7.0,4.56,Bong Joon Ho,Chris Evans,Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer a train that travels around the globe where a class system emerges.
The 5th Wave,Action,112,73093,5.2,34.91,J Blakeson,Chloë Grace Moretz,Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run desperately trying to save her younger brother.
The Stakelander,Action,81,1263,5.3,0.50,Dan Berk,Connor Paolo,When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter Mister to guide him.
The Visit,Comedy,94,81429,6.2,65.07,M. Night Shyamalan,Olivia DeJonge,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.
Fast Five,Action,131,300803,7.3,209.81,Justin Lin,Vin Diesel,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
Step Up,Crime,104,95960,6.5,65.27,Anne Fletcher,Channing Tatum,Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school gaining him the chance to earn a scholarship and dance with an up and coming dancer Nora.
Lovesong,Drama,84,616,6.4,0.01,So Yong Kim,Riley Keough,The relationship between two friends deepens during an impromptu road trip.
RocknRolla,Action,114,203096,7.3,5.69,Guy Ritchie,Gerard Butler,In London a real-estate scam puts millions of pounds up for grabs attracting some of the city's scrappiest tough guys and its more established underworld types all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »
In Time,Action,109,319025,6.7,37.55,Andrew Niccol,Justin Timberlake,In a future where people stop aging at 25 but are engineered to live only one more year having the means to buy your way out of the situation is a shot at immortal youth. Here Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.
The Social Network,Biography,120,510100,7.7,96.92,David Fincher,Jesse Eisenberg,Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook but is later sued by two brothers who claimed he stole their idea and the co-founder who was later squeezed out of the business.
The Last Witch Hunter,Action,106,71149,6.0,27.36,Breck Eisner,Vin Diesel,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.
Victor Frankenstein,Drama,110,37975,6.0,5.77,Paul McGuigan,Daniel Radcliffe,Told from Igor's perspective we see the troubled young assistant's dark origins his redemptive friendship with the young medical student Viktor Von Frankenstein and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.
A Street Cat Named Bob,Biography,103,12643,7.4,0.04,Roger Spottiswoode,Luke Treadaway,Based on the international best selling book. The true feel good story of how James Bowen a busker and recovering drug addict had his life transformed when he met a stray ginger cat.
Green Room,Crime,95,62885,7.0,3.22,Jeremy Saulnier,Anton Yelchin,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.
Blackhat,Crime,133,43085,5.4,7.10,Michael Mann,Chris Hemsworth,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.
Storks,Animation,87,34248,6.9,72.66,Nicholas Stoller,Andy Samberg,Storks have moved on from delivering babies to packages. But when an order for a baby appears the best delivery stork must scramble to fix the error by delivering the baby.
American Sniper,Action,133,353305,7.3,350.12,Clint Eastwood,Bradley Cooper,Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty however Chris finds that it is the war he can't leave behind.
Dallas Buyers Club,Biography,117,352801,8.0,27.30,Jean-Marc Vallée,Matthew McConaughey,In 1985 Dallas electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.
Lincoln,Biography,150,207497,7.4,182.20,Steven Spielberg,Daniel Day-Lewis,As the War continues to rage America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.
Rush,Action,123,339722,8.1,26.90,Ron Howard,Daniel Brühl,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
Before I Wake,Drama,97,18201,6.1,0.50,Mike Flanagan,Kate Bosworth,A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.
Silver Linings Playbook,Comedy,122,564364,7.8,132.09,David O. Russell,Bradley Cooper,After a stint in a mental institution former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany a mysterious girl with problems of her own.
Tracktown,Drama,88,115,5.9,0.50,Alexi Pappas,Alexi Pappas,A young talented and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off.
The Fault in Our Stars,Drama,126,271301,7.8,124.87,Josh Boone,Shailene Woodley,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
Blended,Comedy,117,93764,6.5,46.28,Frank Coraci,Adam Sandler,After a bad blind date a man and woman find themselves stuck together at a resort for families where their attraction grows as their respective kids benefit from the burgeoning relationship.
Fast & Furious,Action,107,217464,6.6,155.02,Justin Lin,Vin Diesel,Brian O'Conner back working for the FBI in Los Angeles teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.
Looper,Action,119,452369,7.4,66.47,Rian Johnson,Joseph Gordon-Levitt,In 2074 when the mob wants to get rid of someone the target is sent into the past where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.
White House Down,Action,131,173320,6.4,73.10,Roland Emmerich,Channing Tatum,While on a tour of the White House with his young daughter a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.
Pete's Dragon,Adventure,102,36322,6.8,76.20,David Lowery,Bryce Dallas Howard,The adventures of an orphaned boy named Pete and his best friend Elliot who just so happens to be a dragon.
Spider-Man 3,Action,139,406219,6.2,336.53,Sam Raimi,Tobey Maguire,A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains temptations and revenge.
The Three Musketeers,Action,110,92329,5.8,20.32,Paul W.S. Anderson,Logan Lerman,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.
Stardust,Adventure,127,220664,7.7,38.35,Matthew Vaughn,Charlie Cox,In a countryside town bordering on a magical land a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.
American Hustle,Crime,138,379088,7.3,150.12,David O. Russell,Christian Bale,A con man Irving Rosenfeld along with his seductive partner Sydney Prosser is forced to work for a wild FBI agent Richie DiMaso who pushes them into a world of Jersey powerbrokers and mafia.
Jennifer's Body,Comedy,102,96617,5.1,16.20,Karyn Kusama,Megan Fox,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?
Midnight in Paris,Comedy,94,320323,7.7,56.82,Woody Allen,Owen Wilson,While on a trip to Paris with his fiancée's family a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.
Lady Macbeth,Drama,89,1396,7.3,0.50,William Oldroyd,Florence Pugh,Set in 19th century rural England
Joy,Drama,124,97679,6.6,56.44,David O. Russell,Jennifer Lawrence,Joy is the story of the title character
The Dressmaker,Comedy,119,33352,7.1,2.02,Jocelyn Moorhouse,Kate Winslet,A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style she transforms the women and exacts sweet revenge on those who did her wrong.
Café Society,Comedy,96,45579,6.7,11.08,Woody Allen,Jesse Eisenberg,In the 1930s a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.
Insurgent,Adventure,119,171970,6.3,130.00,Robert Schwentke,Shailene Woodley,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.
Seventh Son,Action,102,59958,5.5,17.18,Sergei Bodrov,Ben Barnes,When Mother Malkin the queen of evil witches escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice he recruits young Tom the seventh son of the seventh son to help him.
Demain tout commence,Comedy,118,5496,7.4,0.50,Hugo Gélin,Omar Sy,Samuel parties hard in the Marseille area of France and is awoken one morning by a woman carrying a baby she claims is his. She drives off leaving him with a wailing infant; he gives chase ... See full summary »
The Theory of Everything,Biography,123,299718,7.7,35.89,James Marsh,Eddie Redmayne,A look at the relationship between the famous physicist Stephen Hawking and his wife.
This Is the End,Comedy,107,327838,6.6,101.47,Evan Goldberg,James Franco,While attending a party at James Franco's house Seth Rogen Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.
About Time,Comedy,123,221600,7.8,15.29,Richard Curtis,Domhnall Gleeson,At the age of 21 Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.
Step Brothers,Comedy,98,223065,6.9,100.47,Adam McKay,Will Ferrell,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.
Clown,Horror,100,14248,5.7,0.05,Jon Watts,Andy Powers,A loving father finds a clown suit for his son's birthday party only to realize that it is not a suit at all.
Star Trek Into Darkness,Action,132,417663,7.8,228.76,J.J. Abrams,Chris Pine,After the crew of the Enterprise find an unstoppable force of terror from within their own organization Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.
Zombieland,Adventure,88,409403,7.7,75.59,Ruben Fleischer,Jesse Eisenberg,A shy student trying to reach his family in Ohio a gun-toting tough guy trying to find the last Twinkie and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.
Hail,Comedy,106,89059,6.3,30.00,Ethan Coen,Josh Brolin,A Hollywood fixer in the 1950s works to keep the studio's stars in line.
Slumdog Millionaire,Drama,120,677044,8.0,141.32,dir, actor,A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of Who Wants to be a Millionaire?
The Twilight Saga: Breaking Dawn - Part 2,Adventure,115,194329,5.5,292.30,Bill Condon,Kristen Stewart,After the birth of Renesmee the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.
American Wrestler: The Wizard,Drama,117,286,6.9,0.50,Alex Ranarivelo,William Fichtner,In 1980 a teenage boy escapes the unrest in Iran only to face more hostility in America due to the hostage crisis. Determined to fit in he joins the school's floundering wrestling team.
The Amazing Spider-Man,Action,136,474320,7.0,262.03,Marc Webb,Andrew Garfield,After Peter Parker is bitten by a genetically altered spider he gains newfound spider-like powers and ventures out to solve the mystery of his parent's mysterious death.
Ben-Hur,Action,123,28326,5.7,26.38,Timur Bekmambetov,Jack Huston,Judah Ben-Hur a prince falsely accused of treason by his adopted brother an officer in the Roman army returns to his homeland after years at sea to seek revenge but finds redemption.
Sleight,Action,89,702,6.0,3.85,J.D. Dillard,Jacob Latimore,A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing and turns to illegal activities to keep a roof over their heads. When he gets in ... See full summary »
The Maze Runner,Action,113,335531,6.8,102.41,Wes Ball,Dylan O'Brien,Thomas is deposited in a community of boys after his memory is erased soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.
Criminal,Action,113,38430,6.3,14.27,Ariel Vromen,Kevin Costner,In a last-ditch effort to stop a diabolical plot a dead CIA operative's memories secrets and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.
